gaze_normal0_x;gaze_normal0_y;gaze_normal0_z;gaze_normal1_x;gaze_normal1_y;gaze_normal1_z;norm_pos_x;norm_pos_y
-0,287512688;-0,297762992;0,91031514;-0,069454055;-0,313310036;0,947107679;0,342859615;0,75536666
-0,287512688;-0,297762992;0,91031514;-0,06950701;-0,310341972;0,948080501;0,342867602;0,753526516
-0,286401059;-0,297384241;0,910789244;-0,06950701;-0,310341972;0,948080501;0,343503117;0,753478763
-0,286401059;-0,297384241;0,910789244;-0,071685086;-0,309205675;0,948289565;0,343205822;0,753075084
-0,285251726;-0,299249835;0,910538846;-0,071685086;-0,309205675;0,948289565;0,343855161;0,754431937
-0,285251726;-0,299249835;0,910538846;-0,070848853;-0,309623671;0,948216021;0,343969655;0,75457576
-0,284809521;-0,298710893;0,910854181;-0,070848853;-0,309623671;0,948216021;0,344222611;0,75431448
-0,284809521;-0,298710893;0,910854181;-0,070687228;-0,309159334;0,948379577;0,344247462;0,754003879
-0,285350404;-0,298669447;0,910698473;-0,070687228;-0,309159334;0,948379577;0,343939853;0,753886696
-0,285350404;-0,298669447;0,910698473;-0,071499121;-0,307756547;0,948774886;0,343833572;0,753128684
-0,285241375;-0,299435744;0,910480968;-0,071499121;-0,307756547;0,948774886;0,343893511;0,753624647
-0,285241375;-0,299435744;0,910480968;-0,074035208;-0,306761467;0,948902624;0,343545296;0,753360358
-0,284823123;-0,299736528;0,910512934;-0,074035208;-0,306761467;0,948902624;0,343781966;0,753618232
-0,285270259;-0,299091368;0,910585105;-0,074035208;-0,306761467;0,948902624;0,343529835;0,753141158
-0,285270259;-0,299091368;0,910585105;-0,074682083;-0,306529815;0,948926793;0,343441046;0,753087883
-0,285270259;-0,299091368;0,910585105;-0,072854275;-0,306137029;0,949195646;0,343697077;0,752589591
-0,287106912;-0,297567912;0,910506979;-0,072854275;-0,306137029;0,949195646;0,342656084;0,751327874
-0,287106912;-0,297567912;0,910506979;-0,073060649;-0,305524979;0,949376969;0,342630457;0,750977134
-0,287167877;-0,295887812;0,911035133;-0,073060649;-0,305524979;0,949376969;0,342600348;0,749919824
-0,287167877;-0,295887812;0,911035133;-0,073781594;-0,305380147;0,949367812;0,342501164;0,749931717
-0,288245493;-0,296485483;0,910500354;-0,073781594;-0,305380147;0,949367812;0,341885313;0,750119068
-0,288245493;-0,296485483;0,910500354;-0,07217584;-0,308360382;0,948527555;0,342092453;0,751744046
-0,28893474;-0,295514484;0,910597554;-0,07217584;-0,308360382;0,948527555;0,341701264;0,751020471
-0,290280106;-0,29521587;0,910266472;-0,07217584;-0,308360382;0,948527555;0,340932388;0,750603001
-0,290280106;-0,29521587;0,910266472;-0,068772997;-0,307999994;0,948897402;0,341403869;0,749900207
-0,290576722;-0,294659106;0,910352229;-0,068772997;-0,307999994;0,948897402;0,341235168;0,749500772
-0,290576722;-0,294659106;0,910352229;-0,067341797;-0,308443169;0,948856097;0,341430707;0,749575827
-0,291577157;-0,293486695;0,910411073;-0,067341797;-0,308443169;0,948856097;0,340858811;0,748668546
-0,291577157;-0,293486695;0,910411073;-0,066846699;-0,30757539;0,949172744;0,340931823;0,748056717
-0,290604867;-0,292588448;0,911010873;-0,066846699;-0,30757539;0,949172744;0,341493145;0,747663429
-0,290604867;-0,292588448;0,911010873;-0,067662323;-0,307865461;0,9490209;0,34137872;0,747959952
-0,29214324;-0,292954478;0,910401011;-0,067662323;-0,307865461;0,9490209;0,340493422;0,747921398
-0,29214324;-0,292954478;0,910401011;-0,066164387;-0,3102463;0,948350941;0,340687097;0,749197723
